model mu Z Age M(*+remn) F275_wfc3 F336_WFC3 F435W_WFC F475W_WFC F555W_WFC F606W_WFC F775W_WFC F502N_WFC F550M_WFC F658N_WFC F660N_WFC F439W_WFPC2 F555W_WFPC2 F675W_WFPC2
Ebi0.30Zm2.27T00.0300_iTp0.00_baseFe.fits 1.30 -2.27000 0.03000 0.43980 0.65790 1.17171 2.41227 2.51187 2.61188 2.65124 2.80657 2.60980 2.65701 2.63631 2.69142 2.44155 2.59890 2.74432
Ebi0.30Zm2.27T00.0400_iTp0.00_baseFe.fits 1.30 -2.27000 0.04000 0.42400 1.12715 1.59993 2.73766 2.82664 2.91335 2.94428 3.05569 2.91537 2.95167 2.92120 2.96682 2.76404 2.90245 3.01550
Ebi0.30Zm2.27T00.0500_iTp0.00_baseFe.fits 1.30 -2.27000 0.05000 0.41380 1.48103 1.92541 2.99462 3.07664 3.15407 3.17907 3.26118 3.15852 3.18780 3.14982 3.18862 3.01940 3.14472 3.23577
Ebi0.30Zm2.27T00.0600_iTp0.00_baseFe.fits 1.30 -2.27000 0.06000 0.41380 1.73687 2.16314 3.17385 3.24892 3.31683 3.33590 3.39219 3.32397 3.34614 3.29942 3.33281 3.19728 3.30907 3.37835
Ebi0.30Zm2.27T00.0700_iTp0.00_baseFe.fits 1.30 -2.27000 0.07000 0.40120 1.95938 2.37760 3.34736 3.41323 3.46511 3.47231 3.47806 3.47965 3.48702 3.41171 3.44404 3.37033 3.46018 3.48684
Ebi0.30Zm2.27T00.0800_iTp0.00_baseFe.fits 1.30 -2.27000 0.08000 0.40120 2.13647 2.53909 3.44717 3.49575 3.51469 3.49475 3.37666 3.54622 3.52072 3.37776 3.41122 3.47019 3.51545 3.44651
Ebi0.30Zm2.27T00.0900_iTp0.00_baseFe.fits 1.30 -2.27000 0.09000 0.39700 2.27842 2.67431 3.52874 3.55841 3.54132 3.49023 3.22914 3.59212 3.53088 3.31172 3.34635 3.55238 3.54811 3.37365
Ebi0.30Zm2.27T00.1000_iTp0.00_baseFe.fits 1.30 -2.27000 0.10000 0.39060 2.37490 2.71964 3.46459 3.46517 3.39778 3.30777 2.87379 3.47570 3.36701 3.05888 3.09330 3.48931 3.41330 3.11416
Ebi0.30Zm2.27T00.1500_iTp0.00_baseFe.fits 1.30 -2.27000 0.15000 0.37610 3.13795 3.42003 4.05625 4.03475 3.93538 3.82668 3.34861 4.02458 3.89252 3.54934 3.58367 4.08011 3.95600 3.60050
Ebi0.30Zm2.27T00.2000_iTp0.00_baseFe.fits 1.30 -2.27000 0.20000 0.36920 3.52102 3.75989 4.32836 4.30052 4.19510 4.08479 3.60220 4.28434 4.15061 3.80746 3.84028 4.35112 4.21663 3.85563
Ebi0.30Zm2.27T00.2500_iTp0.00_baseFe.fits 1.30 -2.27000 0.25000 0.36430 3.91271 4.04563 4.55028 4.51868 4.40968 4.29790 3.81091 4.49880 4.36392 4.02016 4.05143 4.57224 4.43165 4.06569
Ebi0.30Zm2.27T00.3000_iTp0.00_baseFe.fits 1.30 -2.27000 0.30000 0.36070 4.17594 4.29381 4.74488 4.71110 4.60158 4.49237 4.01788 4.68893 4.55606 4.22139 4.25087 4.76592 4.62374 4.26569
Ebi0.30Zm2.27T00.3500_iTp0.00_baseFe.fits 1.30 -2.27000 0.35000 0.35780 4.39420 4.49085 4.89563 4.85649 4.74237 4.63322 4.16132 4.82991 4.69568 4.36556 4.39335 4.91572 4.76522 4.40717
Ebi0.30Zm2.27T00.4000_iTp0.00_baseFe.fits 1.30 -2.27000 0.40000 0.35550 4.59115 4.67071 5.03426 4.99088 4.87355 4.76451 4.29622 4.96071 4.82617 4.49952 4.52559 5.05339 4.89684 4.53950
Ebi0.30Zm2.27T00.4500_iTp0.00_baseFe.fits 1.30 -2.27000 0.45000 0.35360 4.77341 4.82822 5.15347 5.10930 4.99474 4.88913 4.43485 5.07829 4.94847 4.63366 4.65663 5.17092 5.01721 4.67119
Ebi0.30Zm2.27T00.5000_iTp0.00_baseFe.fits 1.30 -2.27000 0.50000 0.35200 4.88093 4.93331 5.25160 5.20549 5.09076 4.98379 4.51230 5.17252 5.04426 4.72812 4.74966 5.26802 5.11268 4.76049
Ebi0.30Zm2.27T00.6000_iTp0.00_baseFe.fits 1.30 -2.27000 0.60000 0.34940 5.15678 5.18303 5.45219 5.39917 5.27899 5.17186 4.70484 5.35968 5.23133 4.91879 4.93869 5.46701 5.30185 4.94937
Ebi0.30Zm2.27T00.7000_iTp0.00_baseFe.fits 1.30 -2.27000 0.70000 0.34740 5.39502 5.41767 5.64053 5.58372 5.46071 5.35141 4.86772 5.54113 5.41234 5.09325 5.11435 5.65416 5.48425 5.12138
Ebi0.30Zm2.27T00.8000_iTp0.00_baseFe.fits 1.30 -2.27000 0.80000 0.34580 5.56647 5.56735 5.75912 5.69931 5.57300 5.45839 4.93981 5.65477 5.52333 5.18943 5.21280 5.77225 5.59679 5.21298
Ebi0.30Zm2.27T00.9000_iTp0.00_baseFe.fits 1.30 -2.27000 0.90000 0.34430 5.71099 5.69515 5.84739 5.76810 5.60926 5.47265 4.89255 5.70808 5.54777 5.16328 5.19226 5.86306 5.63857 5.18994
Ebi0.30Zm2.27T01.0000_iTp0.00_baseFe.fits 1.30 -2.27000 1.00000 0.34290 5.85630 5.84035 6.02659 5.92363 5.72642 5.57094 4.97117 5.84360 5.65288 5.22780 5.26258 6.04716 5.76250 5.26334
Ebi0.30Zm2.27T01.2500_iTp0.00_baseFe.fits 1.30 -2.27000 1.25000 0.34040 6.33985 6.23542 6.41195 6.29945 6.08925 5.93203 5.35376 6.21007 6.01250 5.58586 5.62230 6.43437 6.12767 5.62653
Ebi0.30Zm2.27T01.5000_iTp0.00_baseFe.fits 1.30 -2.27000 1.50000 0.33880 6.71315 6.52568 6.69046 6.57324 6.35555 6.19374 5.60497 6.48024 6.27635 5.84004 5.87745 6.71381 6.39505 5.88162
Ebi0.30Zm2.27T01.7500_iTp0.00_baseFe.fits 1.30 -2.27000 1.75000 0.33770 7.01721 6.74354 6.87774 6.75658 6.53519 6.37378 5.79659 6.65982 6.45511 6.02157 6.05878 6.90090 6.57526 6.06403
Ebi0.30Zm2.27T02.0000_iTp0.00_baseFe.fits 1.30 -2.27000 2.00000 0.33680 7.34754 6.92438 7.03624 6.90905 6.67913 6.51360 5.93105 6.80754 6.59637 6.15450 6.19265 7.06027 6.72055 6.19825
Ebi0.30Zm2.27T02.2500_iTp0.00_baseFe.fits 1.30 -2.27000 2.25000 0.33600 7.48034 7.07070 7.18596 7.05482 6.81932 6.65123 6.06674 6.95008 6.73490 6.28807 6.32652 7.21068 6.86158 6.33277
Ebi0.30Zm2.27T02.5000_iTp0.00_baseFe.fits 1.30 -2.27000 2.50000 0.33540 7.76106 7.22526 7.32620 7.19188 6.95224 6.78258 6.19836 7.08423 6.86677 6.41688 6.45547 7.35134 6.99525 6.46224
Ebi0.30Zm2.27T02.7500_iTp0.00_baseFe.fits 1.30 -2.27000 2.75000 0.33490 7.90258 7.32818 7.44012 7.30022 7.05231 6.87932 6.29194 7.18762 6.96461 6.50790 6.54723 7.46672 7.09676 6.55495
Ebi0.30Zm2.27T03.0000_iTp0.00_baseFe.fits 1.30 -2.27000 3.00000 0.33440 8.00879 7.42224 7.55466 7.41016 7.15516 6.97901 6.38724 7.29348 7.06554 6.60180 6.64198 7.58267 7.20086 6.65041
Ebi0.30Zm2.27T03.2500_iTp0.00_baseFe.fits 1.30 -2.27000 3.25000 0.33400 8.12539 7.50798 7.65223 7.50387 7.24305 7.06426 6.46833 7.38395 7.15185 6.68205 6.72307 7.68136 7.28977 6.73207
Ebi0.30Zm2.27T03.5000_iTp0.00_baseFe.fits 1.30 -2.27000 3.50000 0.33370 8.21599 7.55980 7.74168 7.58964 7.32142 7.13916 6.53999 7.46598 7.22812 6.74963 6.79203 7.77297 7.36960 6.80274
Ebi0.30Zm2.27T03.7500_iTp0.00_baseFe.fits 1.30 -2.27000 3.75000 0.33330 8.30567 7.64281 7.82339 7.66863 7.39671 7.21262 6.60919 7.54296 7.30229 6.82016 6.86288 7.85513 7.44549 6.87364
Ebi0.30Zm2.27T04.0000_iTp0.00_baseFe.fits 1.30 -2.27000 4.00000 0.33300 8.38998 7.72188 7.91045 7.75370 7.47865 7.29310 6.68786 7.62634 7.38324 6.89825 6.94126 7.94278 7.52796 6.95231
Ebi0.30Zm2.27T04.5000_iTp0.00_baseFe.fits 1.30 -2.27000 4.50000 0.33250 8.56131 7.88244 8.05519 7.89478 7.61549 7.42904 6.82506 7.76473 7.51887 7.03323 7.07619 8.08781 7.66549 7.08820
Ebi0.30Zm2.27T05.0000_iTp0.00_baseFe.fits 1.30 -2.27000 5.00000 0.33210 8.73094 8.03217 8.19091 8.02341 7.73496 7.54504 6.93793 7.88812 7.63549 7.14407 7.18747 8.22458 7.78648 7.20025
